Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.51188E-4,49.00504217,0.695745112,0.247494217,0.444444444,0
6.5297E-4,49.265975427,0.69673423,0.245952197,0.452991453,0
6.54084E-4,49.527564065,0.697351276,0.244410177,0.452991453,0
6.56528E-4,49.789758495,0.698699525,0.242868157,0.452991453,0
6.57113E-4,50.052521491,0.699021406,0.241326137,0.452991453,0
6.59366E-4,50.315931776,0.700258172,0.239784117,0.452991453,0
6.60138E-4,50.51390643,0.700680297,0.238627602,0.452991453,0
6.6129E-4,50.778291604,0.701309906,0.237085582,0.47008547,0
6.61801E-4,51.042927926,0.701588559,0.235543562,0.47008547,0
6.62831E-4,51.307949167,0.702149811,0.234001542,0.47008547,0
6.63306E-4,51.506893432,0.702408343,0.232845027,0.47008547,0
6.65003E-4,51.772533628,0.703329811,0.231303007,0.478632479,0
6.66687E-4,52.038917516,0.704240845,0.229760987,0.478632479,0
6.67269E-4,52.305737624,0.704555168,0.228218967,0.478632479,0
6.67877E-4,52.506050376,0.704883453,0.227062452,0.478632479,0
6.70018E-4,52.773931741,0.70603594,0.225520432,0.487179487,0
6.71474E-4,53.042354598,0.706816873,0.223978412,0.487179487,0
6.7311E-4,53.311390925,0.707691804,0.222436392,0.487179487,0
6.7411E-4,53.513567555,0.708225627,0.221279877,0.487179487,0
6.75523E-4,53.783583237,0.708977787,0.219737857,0.495726496,0
6.76472E-4,54.054059933,0.709482352,0.218195837,0.504273504,0
6.77328E-4,54.257150035,0.709936408,0.217039322,0.504273504,0
6.78419E-4,54.528399531,0.710513922,0.215497301,0.504273504,0
6.79376E-4,54.800034461,0.711019622,0.213955281,0.504273504,0
6.81537E-4,55.00431845,0.712158753,0.212798766,0.504273504,0
6.82771E-4,55.277210683,0.712806687,0.211256746,0.504273504,0
6.84198E-4,55.550538298,0.71355469,0.209714726,0.504273504,0
6.85241E-4,55.756030318,0.714100129,0.208558211,0.512820513,0
6.85491E-4,56.030200168,0.714230813,0.207016191,0.52991453,0
6.86169E-4,56.304530751,0.714584516,0.205474171,0.52991453,0
6.86769E-4,56.510534126,0.714897314,0.204317656,0.538461538,0
6.88319E-4,56.78559879,0.71570383,0.202775636,0.547008547,0
6.89865E-4,57.06128836,0.716505317,0.201233616,0.555555556,0
6.91111E-4,57.268533364,0.717150048,0.200077101,0.555555556,0
6.9237E-4,57.545326546,0.717800296,0.198535081,0.555555556,0
6.95802E-4,57.753709917,0.719564487,0.197378566,0.555555556,0
6.97441E-4,58.032505785,0.720402992,0.195836546,0.555555556,0
6.99232E-4,58.311916689,0.721316601,0.194294526,0.564102564,0
7.01528E-4,58.522134583,0.722483105,0.193138011,0.564102564,0
7.02973E-4,58.803010709,0.723214883,0.191595991,0.564102564,0
7.04317E-4,59.014210054,0.723893736,0.190439476,0.564102564,0
7.06249E-4,59.296382091,0.724866946,0.188897456,0.572649573,0
7.08447E-4,59.508759834,0.725969625,0.187740941,0.572649573,0
7.09368E-4,59.792365516,0.726430706,0.186198921,0.572649573,0
7.09936E-4,60.005293386,0.726714248,0.185042406,0.572649573,0
7.12932E-4,60.290253483,0.728206245,0.183500386,0.581196581,0
7.13699E-4,60.504317007,0.728587259,0.18234387,0.581196581,0
7.1468E-4,60.790030306,0.729072941,0.18080185,0.581196581,0
7.15773E-4,61.004617122,0.729613623,0.179645335,0.581196581,0
7.18523E-4,61.291624993,0.730968801,0.178103315,0.58974359,0
7.20509E-4,61.507608144,0.731943278,0.1769468,0.598290598,0
7.22093E-4,61.796146971,0.732718326,0.17540478,0.598290598,0
7.22703E-4,62.012907156,0.733016104,0.174248265,0.598290598,0
7.2361E-4,62.302129108,0.7334582,0.172706245,0.598290598,0
7.25187E-4,62.519518537,0.734224943,0.17154973,0.606837607,0
7.27789E-4,62.810509689,0.735485436,0.17000771,0.606837607,0
7.28141E-4,63.028923967,0.735655517,0.168851195,0.606837607,0
7.29672E-4,63.320438588,0.736394453,0.167309175,0.606837607,0
7.30407E-4,63.539488203,0.736747988,0.16615266,0.606837607,0
7.31594E-4,63.758913756,0.737318219,0.164996145,0.606837607,0
7.3264E-4,64.051807436,0.737820077,0.163454125,0.606837607,0
7.33192E-4,64.271704911,0.738084217,0.16229761,0.615384615,0
7.36338E-4,64.565780048,0.739585694,0.16075559,0.623931624,0
7.36716E-4,64.786759479,0.739765464,0.159599075,0.632478632,0
7.3801E-4,65.008103301,0.740379839,0.15844256,0.641025641,0
7.39637E-4,65.303719545,0.741150765,0.15690054,0.641025641,0
7.4021E-4,65.525751955,0.741421591,0.155744025,0.641025641,0
7.41547E-4,65.822077395,0.742052713,0.154202005,0.641025641,0
7.42733E-4,66.044732105,0.742610932,0.15304549,0.641025641,0
7.44176E-4,66.267912253,0.743288805,0.151888975,0.641025641,0
7.46138E-4,66.566041105,0.74420725,0.150346955,0.64957265,0
7.46994E-4,66.790081133,0.744607174,0.149190439,0.658119658,0
7.48268E-4,67.014392051,0.745200983,0.148033924,0.666666667,0
7.48499E-4,67.31376687,0.745308557,0.146491904,0.675213675,0
7.49016E-4,67.538418592,0.745548977,0.145335389,0.675213675,0
7.49992E-4,67.763314749,0.746002502,0.144178874,0.683760684,0
7.51528E-4,68.063668986,0.746714102,0.142636854,0.692307692,0
7.52514E-4,68.289296091,0.747170026,0.141480339,0.692307692,0
